saison,tagesart,slot_index,value_kw_per_1000kwha
winter,werktag,0,0.03130304
winter,werktag,1,0.03130304
winter,werktag,2,0.03130304
winter,werktag,3,0.03130304
winter,werktag,4,0.03130304
winter,werktag,5,0.03130304
winter,werktag,6,0.03130304
winter,werktag,7,0.03130304
winter,werktag,8,0.03130304
winter,werktag,9,0.03130304
winter,werktag,10,0.03130304
winter,werktag,11,0.03130304
winter,werktag,12,0.03130304
winter,werktag,13,0.03130304
winter,werktag,14,0.03130304
winter,werktag,15,0.03130304
winter,werktag,16,0.03130304
winter,werktag,17,0.03130304
winter,werktag,18,0.03130304
winter,werktag,19,0.03130304
winter,werktag,20,0.03130304
winter,werktag,21,0.03130304
winter,werktag,22,0.03130304
winter,werktag,23,0.03130304
winter,werktag,24,0.03130304
winter,werktag,25,0.03130304
winter,werktag,26,0.03130304
winter,werktag,27,0.03130304
winter,werktag,28,0.03130304
winter,werktag,29,0.03130304
winter,werktag,30,0.03130304
winter,werktag,31,0.03130304
winter,werktag,32,0.34433341
winter,werktag,33,0.34433341
winter,werktag,34,0.34433341
winter,werktag,35,0.34433341
winter,werktag,36,0.34433341
winter,werktag,37,0.34433341
winter,werktag,38,0.34433341
winter,werktag,39,0.34433341
winter,werktag,40,0.34433341
winter,werktag,41,0.34433341
winter,werktag,42,0.34433341
winter,werktag,43,0.34433341
winter,werktag,44,0.34433341
winter,werktag,45,0.34433341
winter,werktag,46,0.34433341
winter,werktag,47,0.34433341
winter,werktag,48,0.34433341
winter,werktag,49,0.34433341
winter,werktag,50,0.34433341
winter,werktag,51,0.34433341
winter,werktag,52,0.34433341
winter,werktag,53,0.34433341
winter,werktag,54,0.34433341
winter,werktag,55,0.34433341
winter,werktag,56,0.34433341
winter,werktag,57,0.34433341
winter,werktag,58,0.34433341
winter,werktag,59,0.34433341
winter,werktag,60,0.34433341
winter,werktag,61,0.34433341
winter,werktag,62,0.34433341
winter,werktag,63,0.34433341
winter,werktag,64,0.34433341
winter,werktag,65,0.34433341
winter,werktag,66,0.34433341
winter,werktag,67,0.34433341
winter,werktag,68,0.34433341
winter,werktag,69,0.34433341
winter,werktag,70,0.34433341
winter,werktag,71,0.34433341
winter,werktag,72,0.03130304
winter,werktag,73,0.03130304
winter,werktag,74,0.03130304
winter,werktag,75,0.03130304
winter,werktag,76,0.03130304
winter,werktag,77,0.03130304
winter,werktag,78,0.03130304
winter,werktag,79,0.03130304
winter,werktag,80,0.03130304
winter,werktag,81,0.03130304
winter,werktag,82,0.03130304
winter,werktag,83,0.03130304
winter,werktag,84,0.03130304
winter,werktag,85,0.03130304
winter,werktag,86,0.03130304
winter,werktag,87,0.03130304
winter,werktag,88,0.03130304
winter,werktag,89,0.03130304
winter,werktag,90,0.03130304
winter,werktag,91,0.03130304
winter,werktag,92,0.03130304
winter,werktag,93,0.03130304
winter,werktag,94,0.03130304
winter,werktag,95,0.03130304
winter,samstag,0,0.00939091
winter,samstag,1,0.00939091
winter,samstag,2,0.00939091
winter,samstag,3,0.00939091
winter,samstag,4,0.00939091
winter,samstag,5,0.00939091
winter,samstag,6,0.00939091
winter,samstag,7,0.00939091
winter,samstag,8,0.00939091
winter,samstag,9,0.00939091
winter,samstag,10,0.00939091
winter,samstag,11,0.00939091
winter,samstag,12,0.00939091
winter,samstag,13,0.00939091
winter,samstag,14,0.00939091
winter,samstag,15,0.00939091
winter,samstag,16,0.00939091
winter,samstag,17,0.00939091
winter,samstag,18,0.00939091
winter,samstag,19,0.00939091
winter,samstag,20,0.00939091
winter,samstag,21,0.00939091
winter,samstag,22,0.00939091
winter,samstag,23,0.00939091
winter,samstag,24,0.00939091
winter,samstag,25,0.00939091
winter,samstag,26,0.00939091
winter,samstag,27,0.00939091
winter,samstag,28,0.00939091
winter,samstag,29,0.00939091
winter,samstag,30,0.00939091
winter,samstag,31,0.00939091
winter,samstag,32,0.10330002
winter,samstag,33,0.10330002
winter,samstag,34,0.10330002
winter,samstag,35,0.10330002
winter,samstag,36,0.10330002
winter,samstag,37,0.10330002
winter,samstag,38,0.10330002
winter,samstag,39,0.10330002
winter,samstag,40,0.10330002
winter,samstag,41,0.10330002
winter,samstag,42,0.10330002
winter,samstag,43,0.10330002
winter,samstag,44,0.10330002
winter,samstag,45,0.10330002
winter,samstag,46,0.10330002
winter,samstag,47,0.10330002
winter,samstag,48,0.10330002
winter,samstag,49,0.10330002
winter,samstag,50,0.10330002
winter,samstag,51,0.10330002
winter,samstag,52,0.10330002
winter,samstag,53,0.10330002
winter,samstag,54,0.10330002
winter,samstag,55,0.10330002
winter,samstag,56,0.10330002
winter,samstag,57,0.10330002
winter,samstag,58,0.10330002
winter,samstag,59,0.10330002
winter,samstag,60,0.10330002
winter,samstag,61,0.10330002
winter,samstag,62,0.10330002
winter,samstag,63,0.10330002
winter,samstag,64,0.10330002
winter,samstag,65,0.10330002
winter,samstag,66,0.10330002
winter,samstag,67,0.10330002
winter,samstag,68,0.10330002
winter,samstag,69,0.10330002
winter,samstag,70,0.10330002
winter,samstag,71,0.10330002
winter,samstag,72,0.00939091
winter,samstag,73,0.00939091
winter,samstag,74,0.00939091
winter,samstag,75,0.00939091
winter,samstag,76,0.00939091
winter,samstag,77,0.00939091
winter,samstag,78,0.00939091
winter,samstag,79,0.00939091
winter,samstag,80,0.00939091
winter,samstag,81,0.00939091
winter,samstag,82,0.00939091
winter,samstag,83,0.00939091
winter,samstag,84,0.00939091
winter,samstag,85,0.00939091
winter,samstag,86,0.00939091
winter,samstag,87,0.00939091
winter,samstag,88,0.00939091
winter,samstag,89,0.00939091
winter,samstag,90,0.00939091
winter,samstag,91,0.00939091
winter,samstag,92,0.00939091
winter,samstag,93,0.00939091
winter,samstag,94,0.00939091
winter,samstag,95,0.00939091
winter,sonntag,0,0.0031303
winter,sonntag,1,0.0031303
winter,sonntag,2,0.0031303
winter,sonntag,3,0.0031303
winter,sonntag,4,0.0031303
winter,sonntag,5,0.0031303
winter,sonntag,6,0.0031303
winter,sonntag,7,0.0031303
winter,sonntag,8,0.0031303
winter,sonntag,9,0.0031303
winter,sonntag,10,0.0031303
winter,sonntag,11,0.0031303
winter,sonntag,12,0.0031303
winter,sonntag,13,0.0031303
winter,sonntag,14,0.0031303
winter,sonntag,15,0.0031303
winter,sonntag,16,0.0031303
winter,sonntag,17,0.0031303
winter,sonntag,18,0.0031303
winter,sonntag,19,0.0031303
winter,sonntag,20,0.0031303
winter,sonntag,21,0.0031303
winter,sonntag,22,0.0031303
winter,sonntag,23,0.0031303
winter,sonntag,24,0.0031303
winter,sonntag,25,0.0031303
winter,sonntag,26,0.0031303
winter,sonntag,27,0.0031303
winter,sonntag,28,0.0031303
winter,sonntag,29,0.0031303
winter,sonntag,30,0.0031303
winter,sonntag,31,0.0031303
winter,sonntag,32,0.03443334
winter,sonntag,33,0.03443334
winter,sonntag,34,0.03443334
winter,sonntag,35,0.03443334
winter,sonntag,36,0.03443334
winter,sonntag,37,0.03443334
winter,sonntag,38,0.03443334
winter,sonntag,39,0.03443334
winter,sonntag,40,0.03443334
winter,sonntag,41,0.03443334
winter,sonntag,42,0.03443334
winter,sonntag,43,0.03443334
winter,sonntag,44,0.03443334
winter,sonntag,45,0.03443334
winter,sonntag,46,0.03443334
winter,sonntag,47,0.03443334
winter,sonntag,48,0.03443334
winter,sonntag,49,0.03443334
winter,sonntag,50,0.03443334
winter,sonntag,51,0.03443334
winter,sonntag,52,0.03443334
winter,sonntag,53,0.03443334
winter,sonntag,54,0.03443334
winter,sonntag,55,0.03443334
winter,sonntag,56,0.03443334
winter,sonntag,57,0.03443334
winter,sonntag,58,0.03443334
winter,sonntag,59,0.03443334
winter,sonntag,60,0.03443334
winter,sonntag,61,0.03443334
winter,sonntag,62,0.03443334
winter,sonntag,63,0.03443334
winter,sonntag,64,0.03443334
winter,sonntag,65,0.03443334
winter,sonntag,66,0.03443334
winter,sonntag,67,0.03443334
winter,sonntag,68,0.03443334
winter,sonntag,69,0.03443334
winter,sonntag,70,0.03443334
winter,sonntag,71,0.03443334
winter,sonntag,72,0.0031303
winter,sonntag,73,0.0031303
winter,sonntag,74,0.0031303
winter,sonntag,75,0.0031303
winter,sonntag,76,0.0031303
winter,sonntag,77,0.0031303
winter,sonntag,78,0.0031303
winter,sonntag,79,0.0031303
winter,sonntag,80,0.0031303
winter,sonntag,81,0.0031303
winter,sonntag,82,0.0031303
winter,sonntag,83,0.0031303
winter,sonntag,84,0.0031303
winter,sonntag,85,0.0031303
winter,sonntag,86,0.0031303
winter,sonntag,87,0.0031303
winter,sonntag,88,0.0031303
winter,sonntag,89,0.0031303
winter,sonntag,90,0.0031303
winter,sonntag,91,0.0031303
winter,sonntag,92,0.0031303
winter,sonntag,93,0.0031303
winter,sonntag,94,0.0031303
winter,sonntag,95,0.0031303
sommer,werktag,0,0.02561158
sommer,werktag,1,0.02561158
sommer,werktag,2,0.02561158
sommer,werktag,3,0.02561158
sommer,werktag,4,0.02561158
sommer,werktag,5,0.02561158
sommer,werktag,6,0.02561158
sommer,werktag,7,0.02561158
sommer,werktag,8,0.02561158
sommer,werktag,9,0.02561158
sommer,werktag,10,0.02561158
sommer,werktag,11,0.02561158
sommer,werktag,12,0.02561158
sommer,werktag,13,0.02561158
sommer,werktag,14,0.02561158
sommer,werktag,15,0.02561158
sommer,werktag,16,0.02561158
sommer,werktag,17,0.02561158
sommer,werktag,18,0.02561158
sommer,werktag,19,0.02561158
sommer,werktag,20,0.02561158
sommer,werktag,21,0.02561158
sommer,werktag,22,0.02561158
sommer,werktag,23,0.02561158
sommer,werktag,24,0.02561158
sommer,werktag,25,0.02561158
sommer,werktag,26,0.02561158
sommer,werktag,27,0.02561158
sommer,werktag,28,0.02561158
sommer,werktag,29,0.02561158
sommer,werktag,30,0.02561158
sommer,werktag,31,0.02561158
sommer,werktag,32,0.28172734
sommer,werktag,33,0.28172734
sommer,werktag,34,0.28172734
sommer,werktag,35,0.28172734
sommer,werktag,36,0.28172734
sommer,werktag,37,0.28172734
sommer,werktag,38,0.28172734
sommer,werktag,39,0.28172734
sommer,werktag,40,0.28172734
sommer,werktag,41,0.28172734
sommer,werktag,42,0.28172734
sommer,werktag,43,0.28172734
sommer,werktag,44,0.28172734
sommer,werktag,45,0.28172734
sommer,werktag,46,0.28172734
sommer,werktag,47,0.28172734
sommer,werktag,48,0.28172734
sommer,werktag,49,0.28172734
sommer,werktag,50,0.28172734
sommer,werktag,51,0.28172734
sommer,werktag,52,0.28172734
sommer,werktag,53,0.28172734
